user_id,sample_interval_min,interpolation_method,mode,num_points
abboip,30,linear,taxi,1007
abboip,30,nearest,taxi,582
abcoij,30,linear,taxi,574
abcoij,30,nearest,taxi,5
abdrem,30,linear,taxi,1003
abdrem,30,nearest,taxi,738
abgibo,30,linear,taxi,1007
abgibo,30,nearest,taxi,704
abjool,30,linear,taxi,1007
abjool,30,nearest,taxi,181
abmuya,30,linear,taxi,993
abmuya,30,nearest,taxi,589
abniar,30,linear,taxi,1007
abniar,30,nearest,taxi,791
abnovk,30,linear,taxi,995
abnovk,30,nearest,taxi,581
abtyff,30,linear,taxi,1007
abtyff,30,nearest,taxi,658
abwecn,30,linear,taxi,1007
abwecn,30,nearest,taxi,753
abyalw,30,linear,taxi,1007
abyalw,30,nearest,taxi,586
acdiyi,30,linear,taxi,1007
acdiyi,30,nearest,taxi,371
acduou,30,linear,taxi,1007
acduou,30,nearest,taxi,641
acgerl,30,linear,taxi,686
acgerl,30,nearest,taxi,394
acitva,30,linear,taxi,1007
acitva,30,nearest,taxi,408
ackgri,30,linear,taxi,591
ackgri,30,nearest,taxi,347
acpegh,30,linear,taxi,1007
acpegh,30,nearest,taxi,795
acvebr,30,linear,taxi,994
acvebr,30,nearest,taxi,635
adkavy,30,linear,taxi,1007
adkavy,30,nearest,taxi,466
adners,30,linear,taxi,1007
adners,30,nearest,taxi,694
adpaif,30,linear,taxi,991
adpaif,30,nearest,taxi,670
aducri,30,linear,taxi,1007
aducri,30,nearest,taxi,646
afmorc,30,linear,taxi,1007
afmorc,30,nearest,taxi,626
afpans,30,linear,taxi,1007
afpans,30,nearest,taxi,720
afsfat,30,linear,taxi,1002
afsfat,30,nearest,taxi,562
afweka,30,linear,taxi,1007
afweka,30,nearest,taxi,645
agcowk,30,linear,taxi,1007
agcowk,30,nearest,taxi,549
agdrea,30,linear,taxi,1007
agdrea,30,nearest,taxi,589
aggjuo,30,linear,taxi,1008
aggjuo,30,nearest,taxi,775
agivle,30,linear,taxi,1007
agivle,30,nearest,taxi,751
agjitf,30,linear,taxi,1007
agjitf,30,nearest,taxi,757
agsuec,30,linear,taxi,1007
agsuec,30,nearest,taxi,634
agvexp,30,linear,taxi,1006
agvexp,30,nearest,taxi,632
agyamk,30,linear,taxi,1004
agyamk,30,nearest,taxi,275
aichas,30,linear,taxi,1007
aichas,30,nearest,taxi,534
ailbcu,30,linear,taxi,1005
ailbcu,30,nearest,taxi,468
aimidd,30,linear,taxi,1007
aimidd,30,nearest,taxi,671
ainpli,30,linear,taxi,1007
ainpli,30,nearest,taxi,717
aitpyg,30,linear,taxi,1007
aitpyg,30,nearest,taxi,734
aivtyt,30,linear,taxi,824
aivtyt,30,nearest,taxi,544
aiwalb,30,linear,taxi,1007
aiwalb,30,nearest,taxi,651
ajixdo,30,linear,taxi,817
ajixdo,30,nearest,taxi,508
ajsips,30,linear,taxi,1007
ajsips,30,nearest,taxi,719
ajsned,30,linear,taxi,1007
ajsned,30,nearest,taxi,716
ajthof,30,linear,taxi,992
ajthof,30,nearest,taxi,637
ajtreo,30,linear,taxi,1005
ajtreo,30,nearest,taxi,438
akgicj,30,linear,taxi,1007
akgicj,30,nearest,taxi,713
akvutv,30,linear,taxi,1007
akvutv,30,nearest,taxi,708
akyeer,30,linear,taxi,990
akyeer,30,nearest,taxi,645
aldhid,30,linear,taxi,1006
aldhid,30,nearest,taxi,390
alnihi,30,linear,taxi,1007
alnihi,30,nearest,taxi,709
alshet,30,linear,taxi,1006
alshet,30,nearest,taxi,691
amciuc,30,linear,taxi,990
amciuc,30,nearest,taxi,560
amknyw,30,linear,taxi,1007
amknyw,30,nearest,taxi,703
amnurg,30,linear,taxi,843
amnurg,30,nearest,taxi,422
amvefa,30,linear,taxi,1007
amvefa,30,nearest,taxi,502
amwibs,30,linear,taxi,1007
amwibs,30,nearest,taxi,722
ancedv,30,linear,taxi,346
ancedv,30,nearest,taxi,214
ancorj,30,linear,taxi,1005
ancorj,30,nearest,taxi,640
ancycl,30,linear,taxi,1006
ancycl,30,nearest,taxi,579
andyol,30,linear,taxi,1007
andyol,30,nearest,taxi,774
aniajc,30,linear,taxi,1007
aniajc,30,nearest,taxi,690
anidgi,30,linear,taxi,1007
anidgi,30,nearest,taxi,639
ankped,30,linear,taxi,1007
ankped,30,nearest,taxi,719
ansyut,30,linear,taxi,1002
ansyut,30,nearest,taxi,621
anucks,30,linear,taxi,1007
anucks,30,nearest,taxi,697
anupwr,30,linear,taxi,1007
anupwr,30,nearest,taxi,472
apigcy,30,linear,taxi,1007
apigcy,30,nearest,taxi,712
appsri,30,linear,taxi,1007
appsri,30,nearest,taxi,553
apssky,30,linear,taxi,1007
apssky,30,nearest,taxi,631
aquawa,30,linear,taxi,1007
aquawa,30,nearest,taxi,659
arcksy,30,linear,taxi,1007
arcksy,30,nearest,taxi,747
arcuim,30,linear,taxi,1006
arcuim,30,nearest,taxi,592
arcurb,30,linear,taxi,1008
arcurb,30,nearest,taxi,718
arhilb,30,linear,taxi,1007
arhilb,30,nearest,taxi,725
arlwra,30,linear,taxi,1007
arlwra,30,nearest,taxi,752
arphau,30,linear,taxi,1007
arphau,30,nearest,taxi,685
artgag,30,linear,taxi,900
artgag,30,nearest,taxi,690
ascley,30,linear,taxi,995
ascley,30,nearest,taxi,760
ashgat,30,linear,taxi,480
ashgat,30,nearest,taxi,368
asigno,30,linear,taxi,1007
asigno,30,nearest,taxi,801
askmec,30,linear,taxi,1007
askmec,30,nearest,taxi,667
aslagn,30,linear,taxi,1004
aslagn,30,nearest,taxi,578
aswift,30,linear,taxi,1007
aswift,30,nearest,taxi,774
atcila,30,linear,taxi,1007
atcila,30,nearest,taxi,646
atfrav,30,linear,taxi,752
atfrav,30,nearest,taxi,350
atfrim,30,linear,taxi,1006
atfrim,30,nearest,taxi,664
atidfi,30,linear,taxi,1007
atidfi,30,nearest,taxi,773
atnokv,30,linear,taxi,1006
atnokv,30,nearest,taxi,623
atsfiv,30,linear,taxi,166
atsfiv,30,nearest,taxi,119
atzumb,30,linear,taxi,1007
atzumb,30,nearest,taxi,652
aucjun,30,linear,taxi,821
aucjun,30,nearest,taxi,210
auctji,30,linear,taxi,1007
auctji,30,nearest,taxi,636
aupcli,30,linear,taxi,272
aupcli,30,nearest,taxi,143
aurjye,30,linear,taxi,1007
aurjye,30,nearest,taxi,410
avdyab,30,linear,taxi,1007
avdyab,30,nearest,taxi,602
avglyb,30,linear,taxi,1007
avglyb,30,nearest,taxi,379
aviltl,30,linear,taxi,1006
aviltl,30,nearest,taxi,650
avpavi,30,linear,taxi,1007
avpavi,30,nearest,taxi,560
awnbeb,30,linear,taxi,988
awnbeb,30,nearest,taxi,598
awrenb,30,linear,taxi,1006
awrenb,30,nearest,taxi,778
awribi,30,linear,taxi,965
awribi,30,nearest,taxi,562
aydwah,30,linear,taxi,968
aydwah,30,nearest,taxi,728
ayfsdu,30,linear,taxi,1007
ayfsdu,30,nearest,taxi,660
aygpha,30,linear,taxi,928
aygpha,30,nearest,taxi,552
aypudb,30,linear,taxi,1007
aypudb,30,nearest,taxi,708
ayquas,30,linear,taxi,926
ayquas,30,nearest,taxi,608
ayquex,30,linear,taxi,1007
ayquex,30,nearest,taxi,777
ayshek,30,linear,taxi,1007
ayshek,30,nearest,taxi,581
ayshow,30,linear,taxi,1007
ayshow,30,nearest,taxi,47
aysmsl,30,linear,taxi,1007
aysmsl,30,nearest,taxi,729
eacder,30,linear,taxi,1006
eacder,30,nearest,taxi,622
eadect,30,linear,taxi,1007
eadect,30,nearest,taxi,579
eagbac,30,linear,taxi,908
eagbac,30,nearest,taxi,363
eapceo,30,linear,taxi,1007
eapceo,30,nearest,taxi,766
easnsv,30,linear,taxi,1007
easnsv,30,nearest,taxi,476
eavcai,30,linear,taxi,1007
eavcai,30,nearest,taxi,699
eavfli,30,linear,taxi,1005
eavfli,30,nearest,taxi,744
ebcicy,30,linear,taxi,1007
ebcicy,30,nearest,taxi,641
ebdafy,30,linear,taxi,1007
ebdafy,30,nearest,taxi,762
ebenfr,30,linear,taxi,1007
ebenfr,30,nearest,taxi,521
ebrulr,30,linear,taxi,1007
ebrulr,30,nearest,taxi,622
ebstic,30,linear,taxi,1007
ebstic,30,nearest,taxi,390
eccest,30,linear,taxi,1007
eccest,30,nearest,taxi,676
ecdiwo,30,linear,taxi,1007
ecdiwo,30,nearest,taxi,679
ecfesy,30,linear,taxi,1007
ecfesy,30,nearest,taxi,728
ecforj,30,linear,taxi,1006
ecforj,30,nearest,taxi,738
ecgojt,30,linear,taxi,1007
ecgojt,30,nearest,taxi,708
ecjeod,30,linear,taxi,1007
ecjeod,30,nearest,taxi,658
eckeck,30,linear,taxi,853
eckeck,30,nearest,taxi,449
ecnopl,30,linear,taxi,1006
ecnopl,30,nearest,taxi,689
eddreb,30,linear,taxi,1006
eddreb,30,nearest,taxi,600
edeejd,30,linear,taxi,1007
edeejd,30,nearest,taxi,724
edglev,30,linear,taxi,1007
edglev,30,nearest,taxi,676
edgrat,30,linear,taxi,1007
edgrat,30,nearest,taxi,701
edjiye,30,linear,taxi,1007
edjiye,30,nearest,taxi,791
edlyxy,30,linear,taxi,1007
edlyxy,30,nearest,taxi,697
edmugr,30,linear,taxi,1001
edmugr,30,nearest,taxi,751
ednill,30,linear,taxi,1007
ednill,30,nearest,taxi,768
edodbl,30,linear,taxi,1007
edodbl,30,nearest,taxi,632
edombo,30,linear,taxi,123
edombo,30,nearest,taxi,78
edrafs,30,linear,taxi,143
edrafs,30,nearest,taxi,114
eedigk,30,linear,taxi,1007
eedigk,30,nearest,taxi,743
eefayb,30,linear,taxi,1006
eefayb,30,nearest,taxi,665
eegcef,30,linear,taxi,962
eegcef,30,nearest,taxi,638
eemafb,30,linear,taxi,1006
eemafb,30,nearest,taxi,399
eenjou,30,linear,taxi,1007
eenjou,30,nearest,taxi,670
eersdo,30,linear,taxi,1007
eersdo,30,nearest,taxi,711
eesbaj,30,linear,taxi,1007
eesbaj,30,nearest,taxi,761
efcati,30,linear,taxi,990
efcati,30,nearest,taxi,671
effneo,30,linear,taxi,1007
effneo,30,nearest,taxi,776
efghak,30,linear,taxi,1007
efghak,30,nearest,taxi,600
efgoak,30,linear,taxi,1007
efgoak,30,nearest,taxi,707
efmymo,30,linear,taxi,161
efmymo,30,nearest,taxi,104
efonve,30,linear,taxi,1003
efonve,30,nearest,taxi,848
efsphe,30,linear,taxi,990
efsphe,30,nearest,taxi,647
eggfri,30,linear,taxi,1007
eggfri,30,nearest,taxi,692
eghanw,30,linear,taxi,905
eghanw,30,nearest,taxi,621
egloha,30,linear,taxi,1007
egloha,30,nearest,taxi,636
egnata,30,linear,taxi,1007
egnata,30,nearest,taxi,732
egreos,30,linear,taxi,1007
egreos,30,nearest,taxi,467
egteir,30,linear,taxi,818
egteir,30,nearest,taxi,435
egwicj,30,linear,taxi,1007
egwicj,30,nearest,taxi,340
eiboid,30,linear,taxi,1007
eiboid,30,nearest,taxi,595
eicmyn,30,linear,taxi,1001
eicmyn,30,nearest,taxi,426
eifvid,30,linear,taxi,1007
eifvid,30,nearest,taxi,677
eincuf,30,linear,taxi,946
eincuf,30,nearest,taxi,99
eitpem,30,linear,taxi,889
eitpem,30,nearest,taxi,259
ejcrur,30,linear,taxi,1007
ejcrur,30,nearest,taxi,526
ejesba,30,linear,taxi,1007
ejesba,30,nearest,taxi,478
