user_id,sample_interval_min,interpolation_method,mode,num_points
abboip,15,linear,taxi,2014
abboip,15,nearest,taxi,1028
abcoij,15,linear,taxi,1147
abcoij,15,nearest,taxi,24
abdrem,15,linear,taxi,2006
abdrem,15,nearest,taxi,1191
abgibo,15,linear,taxi,2015
abgibo,15,nearest,taxi,1156
abjool,15,linear,taxi,2015
abjool,15,nearest,taxi,310
abmuya,15,linear,taxi,1986
abmuya,15,nearest,taxi,1011
abniar,15,linear,taxi,2015
abniar,15,nearest,taxi,1319
abnovk,15,linear,taxi,1990
abnovk,15,nearest,taxi,942
abtyff,15,linear,taxi,2013
abtyff,15,nearest,taxi,1073
abwecn,15,linear,taxi,2015
abwecn,15,nearest,taxi,1120
abyalw,15,linear,taxi,2014
abyalw,15,nearest,taxi,1045
acdiyi,15,linear,taxi,2014
acdiyi,15,nearest,taxi,534
acduou,15,linear,taxi,2015
acduou,15,nearest,taxi,1044
acgerl,15,linear,taxi,1373
acgerl,15,nearest,taxi,646
acitva,15,linear,taxi,2015
acitva,15,nearest,taxi,621
ackgri,15,linear,taxi,1183
ackgri,15,nearest,taxi,526
acpegh,15,linear,taxi,2014
acpegh,15,nearest,taxi,1364
acvebr,15,linear,taxi,1988
acvebr,15,nearest,taxi,1049
adkavy,15,linear,taxi,2015
adkavy,15,nearest,taxi,665
adners,15,linear,taxi,2015
adners,15,nearest,taxi,1107
adpaif,15,linear,taxi,1983
adpaif,15,nearest,taxi,1126
aducri,15,linear,taxi,2015
aducri,15,nearest,taxi,1004
afmorc,15,linear,taxi,2015
afmorc,15,nearest,taxi,975
afpans,15,linear,taxi,2015
afpans,15,nearest,taxi,1211
afsfat,15,linear,taxi,2005
afsfat,15,nearest,taxi,902
afweka,15,linear,taxi,2014
afweka,15,nearest,taxi,1064
agcowk,15,linear,taxi,2015
agcowk,15,nearest,taxi,895
agdrea,15,linear,taxi,2015
agdrea,15,nearest,taxi,899
aggjuo,15,linear,taxi,2016
aggjuo,15,nearest,taxi,1304
agivle,15,linear,taxi,2015
agivle,15,nearest,taxi,1193
agjitf,15,linear,taxi,2015
agjitf,15,nearest,taxi,1295
agsuec,15,linear,taxi,2013
agsuec,15,nearest,taxi,966
agvexp,15,linear,taxi,2012
agvexp,15,nearest,taxi,854
agyamk,15,linear,taxi,2008
agyamk,15,nearest,taxi,382
