user_id,mode,num_points,fraction_of_user_points
abboip,taxi,7140,1.0
abcoij,taxi,3470,1.0
abdrem,taxi,6796,1.0
abgibo,taxi,7213,1.0
abjool,taxi,6432,1.0
abmuya,taxi,7144,1.0
abniar,taxi,7367,1.0
abnovk,taxi,6849,1.0
abtyff,taxi,7119,1.0
abwecn,taxi,7269,1.0
abyalw,taxi,7189,1.0
acdiyi,taxi,6529,1.0
acduou,taxi,7217,1.0
acgerl,taxi,4667,1.0
acitva,taxi,6729,1.0
ackgri,taxi,4089,1.0
acpegh,taxi,7859,1.0
acvebr,taxi,7213,1.0
adkavy,taxi,6681,1.0
adners,taxi,7211,1.0
adpaif,taxi,7191,1.0
aducri,taxi,7043,1.0
afmorc,taxi,7052,1.0
afpans,taxi,7414,1.0
afsfat,taxi,6683,1.0
afweka,taxi,7102,1.0
agcowk,taxi,7235,1.0
agdrea,taxi,6831,1.0
aggjuo,taxi,7438,1.0
agivle,taxi,7306,1.0
agjitf,taxi,7465,1.0
agsuec,taxi,6942,1.0
agvexp,taxi,6623,1.0
agyamk,taxi,6341,1.0
aichas,taxi,6787,1.0
ailbcu,taxi,6828,1.0
aimidd,taxi,7256,1.0
ainpli,taxi,7285,1.0
aitpyg,taxi,7319,1.0
aivtyt,taxi,5883,1.0
aiwalb,taxi,7040,1.0
ajixdo,taxi,5796,1.0
ajsips,taxi,7321,1.0
ajsned,taxi,7135,1.0
ajthof,taxi,7169,1.0
ajtreo,taxi,6366,1.0
akgicj,taxi,7376,1.0
akvutv,taxi,7314,1.0
akyeer,taxi,7007,1.0
aldhid,taxi,6887,1.0
alnihi,taxi,7161,1.0
alshet,taxi,7226,1.0
amciuc,taxi,6944,1.0
amknyw,taxi,7143,1.0
amnurg,taxi,5640,1.0
amvefa,taxi,6725,1.0
amwibs,taxi,7187,1.0
ancedv,taxi,2543,1.0
ancorj,taxi,6489,1.0
ancycl,taxi,6880,1.0
andyol,taxi,7422,1.0
aniajc,taxi,7293,1.0
anidgi,taxi,7243,1.0
ankped,taxi,7187,1.0
ansyut,taxi,7061,1.0
anucks,taxi,7027,1.0
anupwr,taxi,6752,1.0
apigcy,taxi,7467,1.0
appsri,taxi,6896,1.0
apssky,taxi,7268,1.0
aquawa,taxi,7381,1.0
arcksy,taxi,7525,1.0
arcuim,taxi,6951,1.0
arcurb,taxi,7169,1.0
arhilb,taxi,7215,1.0
arlwra,taxi,6937,1.0
arphau,taxi,7411,1.0
artgag,taxi,6872,1.0
ascley,taxi,7220,1.0
ashgat,taxi,3643,1.0
asigno,taxi,7326,1.0
askmec,taxi,6910,1.0
aslagn,taxi,6723,1.0
aswift,taxi,7359,1.0
atcila,taxi,7228,1.0
atfrav,taxi,5056,1.0
atfrim,taxi,6948,1.0
atidfi,taxi,7384,1.0
atnokv,taxi,6828,1.0
atsfiv,taxi,1126,1.0
atzumb,taxi,7138,1.0
aucjun,taxi,5305,1.0
auctji,taxi,7149,1.0
aupcli,taxi,1780,1.0
aurjye,taxi,6713,1.0
avdyab,taxi,7126,1.0
avglyb,taxi,6576,1.0
aviltl,taxi,7083,1.0
avpavi,taxi,7155,1.0
awnbeb,taxi,6785,1.0
awrenb,taxi,7490,1.0
awribi,taxi,6898,1.0
aydwah,taxi,7257,1.0
ayfsdu,taxi,7319,1.0
aygpha,taxi,6677,1.0
aypudb,taxi,7359,1.0
ayquas,taxi,6765,1.0
ayquex,taxi,7392,1.0
ayshek,taxi,7136,1.0
ayshow,taxi,6095,1.0
aysmsl,taxi,7427,1.0
eacder,taxi,6901,1.0
eadect,taxi,6631,1.0
eagbac,taxi,6012,1.0
eapceo,taxi,7624,1.0
easnsv,taxi,6461,1.0
eavcai,taxi,7333,1.0
eavfli,taxi,7425,1.0
ebcicy,taxi,7122,1.0
ebdafy,taxi,7393,1.0
ebenfr,taxi,6884,1.0
ebrulr,taxi,6615,1.0
ebstic,taxi,6796,1.0
eccest,taxi,7103,1.0
ecdiwo,taxi,7108,1.0
ecfesy,taxi,7498,1.0
ecforj,taxi,6927,1.0
ecgojt,taxi,7259,1.0
ecjeod,taxi,7071,1.0
eckeck,taxi,5924,1.0
ecnopl,taxi,7357,1.0
eddreb,taxi,7217,1.0
edeejd,taxi,7042,1.0
edglev,taxi,7232,1.0
edgrat,taxi,7471,1.0
edjiye,taxi,7389,1.0
edlyxy,taxi,7310,1.0
edmugr,taxi,7250,1.0
ednill,taxi,7469,1.0
edodbl,taxi,7233,1.0
edombo,taxi,887,1.0
edrafs,taxi,1126,1.0
eedigk,taxi,7176,1.0
eefayb,taxi,6986,1.0
eegcef,taxi,6824,1.0
eemafb,taxi,6327,1.0
eenjou,taxi,7095,1.0
eersdo,taxi,7387,1.0
eesbaj,taxi,7328,1.0
efcati,taxi,7259,1.0
effneo,taxi,7252,1.0
efghak,taxi,6955,1.0
efgoak,taxi,7502,1.0
efmymo,taxi,1190,1.0
efonve,taxi,7534,1.0
efsphe,taxi,6659,1.0
eggfri,taxi,7260,1.0
eghanw,taxi,6436,1.0
egloha,taxi,6868,1.0
egnata,taxi,7372,1.0
egreos,taxi,6399,1.0
egteir,taxi,5756,1.0
egwicj,taxi,6361,1.0
eiboid,taxi,6881,1.0
eicmyn,taxi,6367,1.0
eifvid,taxi,7213,1.0
eincuf,taxi,5918,1.0
eitpem,taxi,5802,1.0
ejcrur,taxi,6792,1.0
ejesba,taxi,6847,1.0
ejkipu,taxi,6799,1.0
ejnoax,taxi,6867,1.0
ejshig,taxi,7747,1.0
ejtobu,taxi,7501,1.0
ekenuc,taxi,7063,1.0
ekfrab,taxi,6545,1.0
ektamy,taxi,7725,1.0
ektuyo,taxi,6930,1.0
ekyosj,taxi,7396,1.0
elafle,taxi,7298,1.0
elbnax,taxi,7388,1.0
elfyea,taxi,7237,1.0
elhuyo,taxi,1824,1.0
ellimt,taxi,6945,1.0
elswck,taxi,7200,1.0
elvgid,taxi,1317,1.0
elwesn,taxi,7068,1.0
enarwe,taxi,7196,1.0
enekbl,taxi,7381,1.0
enidmo,taxi,6743,1.0
enjubp,taxi,7045,1.0
enkkan,taxi,7510,1.0
enyene,taxi,1062,1.0
enyons,taxi,7523,1.0
eoccoi,taxi,7049,1.0
eoffri,taxi,7401,1.0
eoivqu,taxi,6565,1.0
eokrac,taxi,7333,1.0
eolgug,taxi,7026,1.0
eoslui,taxi,7487,1.0
eotcue,taxi,7,1.0
eovsyt,taxi,6996,1.0
eoydba,taxi,4108,1.0
epabca,taxi,7789,1.0
epemva,taxi,7583,1.0
epkiap,taxi,7253,1.0
equioc,taxi,7375,1.0
equoaw,taxi,7042,1.0
erjboy,taxi,7360,1.0
erjcre,taxi,7427,1.0
erjtai,taxi,6917,1.0
erulgh,taxi,7368,1.0
erwumu,taxi,7357,1.0
eryeig,taxi,7259,1.0
eshria,taxi,7133,1.0
eshroa,taxi,7356,1.0
esnddc,taxi,7363,1.0
esudce,taxi,7222,1.0
etalra,taxi,6748,1.0
etirnf,taxi,1014,1.0
etnads,taxi,7568,1.0
eufdod,taxi,6978,1.0
evbacc,taxi,7367,1.0
evdyff,taxi,7256,1.0
evfler,taxi,6050,1.0
evijce,taxi,6127,1.0
evjoko,taxi,7247,1.0
evmaja,taxi,6509,1.0
evtitd,taxi,7534,1.0
ewbglo,taxi,6897,1.0
ewedkl,taxi,6815,1.0
ewufri,taxi,7248,1.0
ewvnil,taxi,7060,1.0
exskaf,taxi,7236,1.0
eybmij,taxi,7191,1.0
eybyay,taxi,7279,1.0
eydadg,taxi,783,1.0
eytups,taxi,6955,1.0
iacbyb,taxi,6362,1.0
iackaw,taxi,7384,1.0
iafbag,taxi,6717,1.0
iafstn,taxi,7169,1.0
iaggri,taxi,6661,1.0
iagods,taxi,998,1.0
iahoro,taxi,6672,1.0
iapber,taxi,6819,1.0
iatmeu,taxi,6368,1.0
iatojb,taxi,7140,1.0
iawxbe,taxi,6639,1.0
ibflsr,taxi,7342,1.0
ibgryk,taxi,7016,1.0
iblool,taxi,7135,1.0
ibpijd,taxi,7408,1.0
ibwici,taxi,6802,1.0
icagpo,taxi,7359,1.0
icdahe,taxi,1066,1.0
icdapn,taxi,6944,1.0
icdult,taxi,4741,1.0
icedpa,taxi,6835,1.0
ichank,taxi,6653,1.0
ichiki,taxi,7138,1.0
ickguw,taxi,7425,1.0
ickphi,taxi,7044,1.0
ickviy,taxi,7201,1.0
icodmu,taxi,6393,1.0
ictlyp,taxi,6669,1.0
ictmuo,taxi,5679,1.0
icwiro,taxi,7455,1.0
idbayb,taxi,6911,1.0
idcadg,taxi,6674,1.0
ideutg,taxi,7367,1.0
idholv,taxi,7527,1.0
idjoat,taxi,365,1.0
idjojw,taxi,4529,1.0
idjokv,taxi,7260,1.0
idlorr,taxi,7160,1.0
idodly,taxi,7242,1.0
idshyw,taxi,7073,1.0
idsmuk,taxi,7035,1.0
idtwal,taxi,780,1.0
idvoww,taxi,7297,1.0
ifanfa,taxi,6481,1.0
ifefro,taxi,6030,1.0
ifelas,taxi,7070,1.0
ifeshc,taxi,70,1.0
ifkald,taxi,6957,1.0
ifragc,taxi,7103,1.0
igglit,taxi,6913,1.0
igsoys,taxi,7263,1.0
igvidt,taxi,7281,1.0
ijcoga,taxi,7703,1.0
ijdeyd,taxi,7250,1.0
ijhigo,taxi,7097,1.0
ijhipv,taxi,7313,1.0
ijpiaw,taxi,7287,1.0
ijpruk,taxi,7382,1.0
ijthin,taxi,6583,1.0
ijtowh,taxi,7202,1.0
ikdagc,taxi,6814,1.0
ikkimm,taxi,7555,1.0
ikujfu,taxi,7371,1.0
ilcoby,taxi,6946,1.0
ilkble,taxi,6795,1.0
ilkedv,taxi,7072,1.0
ilyutj,taxi,7527,1.0
imhacy,taxi,6042,1.0
imnees,taxi,6933,1.0
imoikc,taxi,7315,1.0
imwryt,taxi,7058,1.0
imwyoj,taxi,7733,1.0
inckki,taxi,7125,1.0
indtwr,taxi,6901,1.0
indyep,taxi,7383,1.0
inghog,taxi,7191,1.0
inghot,taxi,6877,1.0
inhial,taxi,4005,1.0
inlica,taxi,7074,1.0
inquay,taxi,7371,1.0
inshfo,taxi,1393,1.0
insodf,taxi,7026,1.0
ioajdi,taxi,7591,1.0
ioangi,taxi,6834,1.0
iodjie,taxi,7315,1.0
iodlac,taxi,7007,1.0
iofpli,taxi,6857,1.0
ioivkn,taxi,6539,1.0
iorjtw,taxi,7323,1.0
iotklo,taxi,7252,1.0
iovhar,taxi,7235,1.0
iovlit,taxi,7424,1.0
ioytgo,taxi,6754,1.0
ipdioi,taxi,7329,1.0
ipdraw,taxi,780,1.0
iphesp,taxi,6605,1.0
iphybc,taxi,7201,1.0
ipjier,taxi,6938,1.0
ippfei,taxi,5891,1.0
irjfen,taxi,7271,1.0
isekdy,taxi,7140,1.0
isfikt,taxi,6815,1.0
ishvir,taxi,7381,1.0
isnthl,taxi,2157,1.0
ispaww,taxi,7479,1.0
isvayd,taxi,6621,1.0
itacfl,taxi,7506,1.0
itbadp,taxi,7308,1.0
itbejs,taxi,7028,1.0
itcemr,taxi,6937,1.0
ithpet,taxi,6601,1.0
itmeps,taxi,6558,1.0
itpivo,taxi,7241,1.0
itquir,taxi,7213,1.0
ivheoo,taxi,7128,1.0
ivkock,taxi,7293,1.0
izowcu,taxi,6420,1.0
oadwow,taxi,665,1.0
oafhyn,taxi,7243,1.0
oahudf,taxi,7535,1.0
oakpik,taxi,6882,1.0
oapwyc,taxi,7415,1.0
oasthu,taxi,6386,1.0
obacva,taxi,7241,1.0
obceoo,taxi,6799,1.0
obheuj,taxi,7224,1.0
objoyh,taxi,112,1.0
oblyag,taxi,7472,1.0
obsimj,taxi,7393,1.0
occeyd,taxi,6803,1.0
occrok,taxi,7120,1.0
ochotc,taxi,6938,1.0
ochtin,taxi,6715,1.0
ocjeng,taxi,7283,1.0
ockiho,taxi,7467,1.0
ockoac,taxi,3066,1.0
ockolr,taxi,6327,1.0
ocshit,taxi,7113,1.0
ocwyit,taxi,6787,1.0
odklob,taxi,6702,1.0
odlorh,taxi,7342,1.0
odocje,taxi,7157,1.0
odolfe,taxi,6829,1.0
odoywu,taxi,6777,1.0
odscix,taxi,6702,1.0
ofikco,taxi,7754,1.0
ofjeeq,taxi,7206,1.0
ofodwo,taxi,7057,1.0
ogawje,taxi,6941,1.0
ogdygd,taxi,7071,1.0
oggluv,taxi,6401,1.0
ogijtr,taxi,7297,1.0
ogikli,taxi,7279,1.0
ogjoch,taxi,7423,1.0
ognoww,taxi,7220,1.0
ogofvo,taxi,3578,1.0
ogphag,taxi,7378,1.0
ogshtc,taxi,7379,1.0
ogurju,taxi,7176,1.0
oiphye,taxi,6870,1.0
oipial,taxi,7413,1.0
oirzgo,taxi,6846,1.0
oivnab,taxi,7200,1.0
ojachm,taxi,7268,1.0
ojbaso,taxi,7303,1.0
ojfann,taxi,7412,1.0
ojfequ,taxi,6601,1.0
ojfiez,taxi,6477,1.0
ojpoot,taxi,7357,1.0
ojroig,taxi,7233,1.0
ojumna,taxi,7272,1.0
ojvigh,taxi,7292,1.0
ojwyky,taxi,7262,1.0
okavka,taxi,7242,1.0
okblah,taxi,7797,1.0
okchym,taxi,6902,1.0
okneyd,taxi,4143,1.0
oknsco,taxi,7316,1.0
okquak,taxi,7405,1.0
oksbos,taxi,6934,1.0
oktuls,taxi,7216,1.0
okvats,taxi,6679,1.0
oljnek,taxi,7486,1.0
omcuky,taxi,7058,1.0
omdrid,taxi,2346,1.0
omluaj,taxi,7146,1.0
omwyek,taxi,7208,1.0
onanns,taxi,967,1.0
oncalk,taxi,7182,1.0
oncixp,taxi,7026,1.0
onghoj,taxi,7077,1.0
onkawc,taxi,7057,1.0
ononma,taxi,7422,1.0
onvahe,taxi,7326,1.0
onwohy,taxi,6271,1.0
onyacj,taxi,7389,1.0
onyenr,taxi,7082,1.0
oocsod,taxi,7130,1.0
oogchy,taxi,7074,1.0
ootquo,taxi,6525,1.0
ootyec,taxi,7588,1.0
oowfmu,taxi,597,1.0
opgove,taxi,6899,1.0
ophgir,taxi,6943,1.0
ophugb,taxi,7045,1.0
opjerm,taxi,7096,1.0
opmisa,taxi,7540,1.0
opnown,taxi,6931,1.0
oquiat,taxi,7290,1.0
orkbat,taxi,7108,1.0
orocdu,taxi,4445,1.0
orptme,taxi,7083,1.0
orrrar,taxi,7316,1.0
orsyal,taxi,7018,1.0
osacmu,taxi,2732,1.0
osckro,taxi,7321,1.0
oshyon,taxi,7542,1.0
osocce,taxi,7507,1.0
otasfi,taxi,7584,1.0
otfaho,taxi,6813,1.0
otmego,taxi,6244,1.0
otscok,taxi,7474,1.0
otswra,taxi,6486,1.0
otvasd,taxi,7314,1.0
ouvdan,taxi,7075,1.0
ovkojy,taxi,7330,1.0
ovnacg,taxi,6544,1.0
ovyijn,taxi,7245,1.0
owbsus,taxi,7333,1.0
owgves,taxi,7367,1.0
owhagm,taxi,5596,1.0
owufre,taxi,6488,1.0
oxdogh,taxi,7126,1.0
oyclsd,taxi,6639,1.0
oydtes,taxi,7536,1.0
oygmeb,taxi,7025,1.0
oygvar,taxi,6182,1.0
ubgiho,taxi,7009,1.0
ubjajo,taxi,7549,1.0
ubjaju,taxi,6775,1.0
ubnank,taxi,7140,1.0
ubzach,taxi,6127,1.0
ucbiya,taxi,7163,1.0
ucdewy,taxi,4354,1.0
ucgewf,taxi,7434,1.0
uchjaf,taxi,6941,1.0
ucovla,taxi,6859,1.0
ucvepn,taxi,6809,1.0
udguic,taxi,7092,1.0
udthon,taxi,7114,1.0
udtiog,taxi,7016,1.0
udveoy,taxi,7184,1.0
udwadl,taxi,6799,1.0
udwebi,taxi,6155,1.0
udwiul,taxi,7355,1.0
ufdoyn,taxi,7042,1.0
ugatna,taxi,7695,1.0
ugdifb,taxi,6653,1.0
uggdye,taxi,7525,1.0
ugifma,taxi,6957,1.0
ugthfu,taxi,6874,1.0
ujhuki,taxi,7094,1.0
ujkiwe,taxi,7109,1.0
ujnaww,taxi,7129,1.0
ujtosh,taxi,5080,1.0
ujtrud,taxi,7261,1.0
ukgoaf,taxi,7372,1.0
uklsdr,taxi,7589,1.0
uljior,taxi,6809,1.0
umhenw,taxi,6603,1.0
umsmth,taxi,7395,1.0
umvohu,taxi,7577,1.0
unquek,taxi,7133,1.0
unwrai,taxi,1689,1.0
upchim,taxi,7611,1.0
upsjav,taxi,7587,1.0
upthin,taxi,6391,1.0
urfhod,taxi,6693,1.0
usadri,taxi,6163,1.0
usbekh,taxi,7147,1.0
ushfeo,taxi,6914,1.0
uthiss,taxi,6494,1.0
uthomo,taxi,7178,1.0
uthsyi,taxi,6120,1.0
utjanr,taxi,7450,1.0
utkibe,taxi,6587,1.0
utlurv,taxi,7483,1.0
utthwa,taxi,2384,1.0
uttorh,taxi,6433,1.0
utvoho,taxi,7003,1.0
utwoab,taxi,7446,1.0
uvburk,taxi,6473,1.0
uvigch,taxi,7513,1.0
uvjeah,taxi,6809,1.0
uvjova,taxi,6777,1.0
uvreoi,taxi,7053,1.0
