sample_interval_min,interpolation_method,codebook_size,raw_code,num_occurrences,dominant_mode,top_modes,mean_speed_kmh,mean_step_km,mean_radius_of_gyration_km
30,linear,256,142,503760,taxi,taxi:503760,5.77095890045166,2.88547945022583,5.926306300375677
30,linear,512,5,16,taxi,taxi:16,6.661652565002441,3.3308262825012207,12.07684725522995
30,linear,512,28,503744,taxi,taxi:503744,5.770930290222168,2.885465145111084,5.9261109458795875
30,linear,1024,760,503760,taxi,taxi:503760,5.77095890045166,2.88547945022583,5.926306300375677
30,nearest,256,0,6,taxi,taxi:6,6.916270732879639,3.4581353664398193,5.4649092356363935
30,nearest,256,5,99,taxi,taxi:99,8.89186954498291,4.445934772491455,5.360323019702025
30,nearest,256,43,1,taxi,taxi:1,4.688604831695557,2.3443024158477783,8.29192066192627
30,nearest,256,62,1,taxi,taxi:1,1.8325984477996826,0.9162992238998413,7.6104865074157715
30,nearest,256,78,50641,taxi,taxi:50641,8.880267143249512,4.440133571624756,5.2092530068570415
30,nearest,256,117,3896,taxi,taxi:3896,9.21010684967041,4.605053424835205,5.939959359181246
30,nearest,256,160,6427,taxi,taxi:6427,6.372607707977295,3.1863038539886475,5.509761037139513
30,nearest,256,207,7,taxi,taxi:7,6.701480865478516,3.350740432739258,5.5893385750906805
30,nearest,512,19,5,taxi,taxi:5,11.1182222366333,5.55911111831665,6.715155792236328
30,nearest,512,99,57320,taxi,taxi:57320,7.584691524505615,3.7923457622528076,5.213345149891492
30,nearest,512,156,117,taxi,taxi:117,10.210989952087402,5.105494976043701,6.445539282937335
30,nearest,512,396,130,taxi,taxi:130,10.860072135925293,5.4300360679626465,8.364129690023569
30,nearest,512,426,69,taxi,taxi:69,12.3939790725708,6.1969895362854,6.721259683802508
30,nearest,512,470,3437,taxi,taxi:3437,25.966936111450195,12.983468055725098,6.344438445196965
30,nearest,1024,336,59782,taxi,taxi:59782,8.400252342224121,4.2001261711120605,5.242597907762657
30,nearest,1024,382,1,taxi,taxi:1,6.582632541656494,3.291316270828247,6.678404808044434
30,nearest,1024,405,3,taxi,taxi:3,4.457266330718994,2.228633165359497,5.968120733896892
30,nearest,1024,496,2,taxi,taxi:2,4.121846675872803,2.0609233379364014,5.275463581085205
30,nearest,1024,566,810,taxi,taxi:810,15.445116996765137,7.722558498382568,7.598620527173266
30,nearest,1024,697,7,taxi,taxi:7,26.755050659179688,13.377525329589844,5.971977915082659
30,nearest,1024,748,472,taxi,taxi:472,26.71409034729004,13.35704517364502,7.040871203450833
30,nearest,1024,956,1,taxi,taxi:1,1.19373619556427,0.596868097782135,5.48708438873291
